#fields:Hanzi	Pinyin	English	Notes	Tags
出众	chūzhòng	to stand out from the crowd; exceptional	出 chū (emerge) + 众 zhòng (crowd; the many; multitude). To emerge from the mass of people , to be the one figure that rises above the surrounding level. Often used for talent, appearance, or personal quality that is genuinely rare rather than merely good.	motion direction daily-life
初	chū	beginning; initial		cosmology philosophy taoism confucianism
除非	chúfēi	unless; only if	除 chú (except) + 非 fēi (not). Literally "except if not," hence "unless." Often paired with 否则 fǒuzé or 才 cái: 除非下雨，否则我们就去 "we'll go unless it rains."	negation logic meaning characters
除夕	Chúxī	New Year's Eve		culture history family
厨房	chúfáng	kitchen	厨 (chú, cooking, the cook) plus 房. The room where food is prepared. One of the most frequent 房 compounds in daily life, and usually among the first room words a learner needs.	food culinary daily-life characters home settlement
楚辞	Chǔ Cí	Songs of Chu		culture festival history food calendar confucianism classical dynasty ancient politics ritual philosophy classics
处理	chǔlǐ	to handle; to deal with; to process	处 chǔ (to manage; to dispose of) + 理 lǐ (to put in order). To take a matter in hand and see it through: 处理问题 "to deal with a problem," 处理数据 "to process data."	principle philosophy meaning characters
处于	chǔyú	to be in (a state or situation)		grammar space aspect
处置	chǔzhì	to handle; to dispose of; the construction name		syntax object disposal
触动	chùdòng	to touch; to stir		emotion perception gratitude
川菜	chuāncài	Sichuan cuisine	川 chuān (Sichuan) + 菜 cài (cuisine). The cooking of Sichuan, famous for the numbing-spicy 麻辣 málà of Sichuan peppercorn and chili. 麻婆豆腐 and 回锅肉 are classic 川菜 dishes.	food culinary daily-life characters culture geography history buddhism social confucianism trade nature
穿过	chuānguò	to pass through; to cross	穿 (to pass through) + 过 (guò, across, a directional complement). The verb of moving through and out the other side, a crowd, a forest, a tunnel. 过 marks the full traverse, in one side and out the far side.	motion body daily-life characters
穿上	chuān shàng	to put on (and have it on)	穿 (to thread on) + 上 (shàng, up/onto, here a result complement). The complement 上 marks the garment as now in place. 穿上 stresses the completed act of getting it on, against bare 穿 which can describe the habit of wearing.	motion body daily-life characters
穿梭	chuānsuō	to shuttle back and forth		motion body daily-life characters
穿透	chuāntòu	to penetrate; to pierce through	穿 (to bore through) + 透 (tòu, thoroughly/through). Two synonyms stacked for force, used for light, sound, water, or radiation breaking all the way through a barrier. The technical word in physics and medicine for penetration.	motion body daily-life characters
穿衣	chuān yī	to put on clothes; to dress	穿 (to thread through) + 衣 (yī, clothing). A verb-object pair, the plainest way to say "get dressed." 衣 is the general word for what covers the upper body, so 穿衣 frames dressing as passing the body into a garment.	motion body daily-life characters
穿越	chuānyuè	to pass through; to cut across; (popular fiction) to time-travel	Cutting through a region. Also the standard verb for popular time-travel fiction (穿越剧, 穿越小说) where a modern character is thrown into a past dynasty.	motion body daily-life characters movement comparison border modern
穿着	chuān zhe	wearing; dressed in (current state)	穿 (to put on clothing) + 着 = the dressed state is in force. This is among the most natural uses of durative 着, because clothing occupies a position continuously. The same pattern applies to 戴着 (wearing a hat/glasses), 拿着 (holding), 带着 (carrying/bringing).	motion body daily-life characters aspect particle grammar syntax
传播	chuánbō	to disseminate; to spread; to broadcast; communication	传 chuán (to transmit) + 播 bō (to sow, to broadcast). To spread information, ideas, or culture widely: 传播知识 "to disseminate knowledge," 大众传播 "mass communication." Also the academic field name, 传播学 "communication studies."	transmission communication culture characters
传承	chuánchéng	to inherit and carry on		transmission communication culture characters
传达	chuándá	to convey; to pass on (a message); to communicate	传 chuán (to convey) + 达 dá (to reach, to arrive). To deliver a message, an order, or a feeling so that it reaches its target: 传达指示 "to convey instructions," 传达上级的精神 "to pass on the leadership's intent." Stresses that the content arrives intact.	transmission communication culture characters
传递	chuándì	to pass; to relay; to convey; to transmit	传 chuán (to pass on) + 递 dì (to hand over). To move something from one party to the next in a chain: 传递信息 "to relay information," 传递火炬 "to pass the torch." Stresses the act of handing along, often through several hands or steps.	transmission communication culture characters
传记	zhuànjì	biography; a life story	传 zhuàn (a handed-down record) + 记 jì (to record). A written account of a person's life: 名人传记 "celebrity biographies," 人物传记 "biographies of notable figures." Note the reading shifts to zhuàn here, never chuán.	transmission communication culture characters
传染	chuánrǎn	to infect; to be contagious; to spread (a disease)	传 chuán (to transmit) + 染 rǎn (to dye, to be tainted). The spread of an illness from one person to another: 传染病 "infectious disease." Figuratively, an emotion or a mood that catches: 他的笑很有传染力 "his laugh is contagious."	transmission communication culture characters
传染病	chuán rǎn bìng	infectious disease	传染 (chuánrǎn, to infect, to pass on) + 病: a disease that spreads from one person to another. It is the headline word during any epidemic and the category label on public-health notices.	health body tcm characters
传授	chuánshòu	to impart (knowledge or skill)		transmission communication culture characters
传说	chuánshuō	legend; folklore; that which is passed down	传 chuán (to transmit; to pass on) + 说 shuō (speech; to speak; theory). A legend or oral tradition , stories that have been passed down through generations without fixed written form.	culture history literature
传统节日	chuántǒng jiérì	traditional festival; heritage holiday	传统 (traditional) + 节日 (festival, holiday). The inherited ritual calendar: 春节, 元宵节, 清明节, 端午节, 七夕节, 中元节, 中秋节, 重阳节. These are 传统节日 as opposed to 法定节假日 (statutory public holidays) like National Day.	culture history confucianism
传统文化	chuántǒng wénhuà	traditional culture; cultural heritage	传统 (tradition) + 文化 (culture). The received deposit of Chinese civilization: classical literature, Confucian ethics, folk festivals, traditional arts and crafts, medicine, cuisine, and everything else that is "Chinese" by inheritance rather than by innovation.	culture history confucianism
传统医学	chuántǒng yīxué	traditional medicine; TCM	传统 (traditional) + 医学 (medicine). The formal name for the system of Chinese medicine (中医 zhōngyī) as a body of inherited knowledge: acupuncture, herbal medicine, moxibustion, massage (推拿 tuīná), and the diagnostic frameworks of qi, yin-yang, and the five phases.	culture history confucianism
船舶	chuánbó	shipping, vessels (formal)		motion daily-life characters
船票	chuánpiào	boat ticket, ferry ticket	船 (boat) + 票 (ticket): the fare for a passage by water, parallel to 车票 (bus/train ticket) and 机票 (plane ticket).	motion daily-life characters
船员	chuányuán	crew member, sailor		motion daily-life characters
船长	chuánzhǎng	ship's captain	船 (boat) + 长 (zhǎng, chief): the head of the ship. The same 长 head-of suffix gives 校长 (principal) and 队长 (team leader).	motion daily-life characters
船只	chuánzhī	vessels, shipping (collective)	船 (boat) + 只, here a classifier turned collective suffix. The pair names boats as a category rather than one hull, the way 车辆 names vehicles in bulk. Standard in port notices, news, and maritime law.	motion daily-life characters
